,solution_id,random_index,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,teff_val,lum_val,class
13482,1635721458409799680,13482,4304260196483066368,299.24486812685694,12.679423374717707,17.025448,17.455767,16.398718,1.0570488,0.43031883,0.62672997,5056.16,,K
13489,1635721458409799680,13489,5865511461779004544,206.08996408463935,-62.10486898880746,16.872448,17.347095,15.931447,1.4156485,0.47464752,0.94100094,4595.73,,K
13504,1635721458409799680,13504,3621389915726401920,196.64274876017257,-12.765447508292237,15.915043,16.316479,15.354211,0.9622679,0.40143585,0.560832,5363.5,0.77895546,G
13507,1635721458409799680,13507,6374749305793773056,309.71009186497025,-70.24663563417722,12.294018,12.844213,11.616776,1.2274361,0.55019474,0.6772413,4831.0,50.856403,K
13512,1635721458409799680,13512,6200122158951970176,228.23214918396897,-35.918432860035715,17.00929,17.400234,16.425234,0.9750004,0.39094353,0.58405685,5312.105,,G
13544,1635721458409799680,13544,4134631940597143168,258.5546106639039,-18.23366425639887,16.876688,17.387957,16.213348,1.1746082,0.5112686,0.6633396,4908.5,,K
13562,1635721458409799680,13562,5970491728180048384,253.78502246201776,-38.307357199388804,16.654593,18.02843,15.372369,2.6560621,1.3738384,1.2822237,4024.9402,,K
13567,1635721458409799680,13567,4370766356316162048,266.9471944738822,-2.080697638896833,16.677671,17.283907,15.918669,1.3652382,0.6062355,0.7590027,4984.0,,K
13575,1635721458409799680,13575,6521950861666364288,359.1668409487506,-51.31205114236248,13.38762,13.776183,12.829951,0.94623184,0.38856316,0.5576687,5327.0,10.466032,G
13578,1635721458409799680,13578,539712672820381568,0.5831690657174081,75.66592439766346,15.364775,16.055956,14.570481,1.4854746,0.6911812,0.7942934,4449.5,0.20169261,K
13587,1635721458409799680,13587,5978874095590379136,258.45560373521795,-34.0846539464612,14.980543,16.303822,13.81081,2.4930115,1.3232784,1.169733,3876.9568,8.632745,K
13589,1635721458409799680,13589,4155903199932528640,278.1646458552726,-9.393038111207968,16.7893,18.148523,15.595114,2.5534096,1.3592224,1.1941872,3681.0,,M
13600,1635721458409799680,13600,3782745373110660736,156.93255270562994,-1.6349617476502527,13.884221,14.232179,13.3771715,0.8550072,0.3479576,0.50704956,5762.6665,3.0177224,G
13615,1635721458409799680,13615,2990706850581781248,89.66818992542943,-18.503769569567712,16.800575,17.637978,15.922135,1.7158422,0.83740234,0.8784399,4096.2026,0.1218087,K
13639,1635721458409799680,13639,4466518842539083648,245.8074441928098,16.18033277645811,13.92121,14.270867,13.413207,0.8576603,0.34965706,0.50800323,5761.0,1.2201399,G
13641,1635721458409799680,13641,5890887606042392576,218.04113803581512,-59.123044988567145,16.59142,17.20062,15.83128,1.3693409,0.60920143,0.76013947,4807.9663,,K
13645,1635721458409799680,13645,2092304382084736256,283.07631204560516,34.44239385732512,16.552124,17.317007,15.679005,1.6380024,0.76488304,0.87311935,4310.0,0.10102504,K
13660,1635721458409799680,13660,464493914137833984,43.112389186798495,59.7614709218375,16.709187,17.639915,15.705287,1.9346285,0.9307289,1.0038996,3836.0,,K
13699,1635721458409799680,13699,213224961378838528,79.04796016595698,48.47083620506049,14.435512,15.217156,13.577578,1.6395788,0.7816448,0.857934,4283.0,,K
13709,1635721458409799680,13709,4054931851693995648,264.42816079426586,-32.638094330056894,15.128392,16.644138,13.897425,2.7467136,1.5157461,1.2309675,4128.8,,K
13720,1635721458409799680,13720,6095927214424086144,211.40002817944622,-46.954693896376774,15.901768,16.43588,15.24324,1.1926403,0.53411293,0.6585274,4830.93,,K
13734,1635721458409799680,13734,5796157803037261696,215.76194483640322,-74.87046969675144,16.124489,16.314838,15.7982235,0.5166149,0.19034958,0.32626534,7230.0,,F
13738,1635721458409799680,13738,6501125630398811520,352.54121477644026,-52.985841581559896,16.271309,16.504787,15.885901,0.618886,0.23347855,0.38540745,6889.0,,F
13743,1635721458409799680,13743,4352872874015112832,251.11596266398774,-6.432563530096476,15.47814,16.098026,14.723022,1.3750038,0.6198864,0.7551174,4700.47,0.465539,K
13752,1635721458409799680,13752,803361542388522112,151.73011331174462,39.23942055238188,13.83696,14.164302,13.350866,0.81343555,0.32734203,0.48609352,5834.6665,1.9545864,G
13761,1635721458409799680,13761,5953424254054628352,260.2462067873614,-43.25637119262616,16.955708,17.604261,16.15208,1.4521809,0.64855385,0.803627,4438.0,,K
13763,1635721458409799680,13763,4108334439956513536,260.4273735979432,-26.471184622514226,16.883072,17.716095,15.823998,1.8920965,0.8330231,1.0590734,4032.4302,,K
13800,1635721458409799680,13800,4291073860927796736,294.37751839707346,5.092100914508868,12.950757,14.020936,11.935947,2.0849886,1.070179,1.0148096,4142.5,152.35753,K
13822,1635721458409799680,13822,6056365716604852224,192.22187392253122,-60.930442503979265,16.74074,17.28425,16.03377,1.2504807,0.54351044,0.7069702,4832.585,,K
13837,1635721458409799680,13837,6749729951084083456,302.10374790581096,-29.11536594858825,15.283104,15.650133,14.747663,0.9024706,0.3670292,0.5354414,5486.0,1.641278,G
13842,1635721458409799680,13842,4161485381802690304,264.954094916871,-13.605674277948198,16.22764,16.740099,15.554419,1.1856804,0.5124588,0.6732216,4885.25,0.92461485,K
13851,1635721458409799680,13851,2362538986998432640,7.8724321707818845,-20.421792488576433,16.610477,16.914871,16.14606,0.7688103,0.30439377,0.4644165,6160.0,,F
13859,1635721458409799680,13859,473131196447277568,58.98736398796357,59.1580893472271,16.97154,18.175455,15.864893,2.3105621,1.2039146,1.1066475,4215.69,,K
13862,1635721458409799680,13862,6449895294852235520,319.4177627544844,-63.6886607396164,16.509222,17.484509,15.527281,1.9572277,0.9752865,0.9819412,3767.5,0.062308863,K
13868,1635721458409799680,13868,4207347390482741120,293.93997325608484,-7.138182758382609,16.642693,17.04887,15.871507,1.1773634,0.40617752,0.7711859,4885.0,,K
13872,1635721458409799680,13872,5155592194233204736,45.87577532694547,-14.976291600039987,14.368092,15.006202,13.621813,1.3843889,0.63811016,0.74627876,4777.5547,0.21403149,K
13875,1635721458409799680,13875,4043259947349625856,269.5601456521415,-33.150197945438045,15.427512,16.855486,14.220163,2.6353226,1.4279737,1.2073488,3734.6335,,K
